PUID,name,extension,containerDataFormat,category,outPuid,possibleOutPuid,outputDataFormat,keepOriginal
fmt/421,Adobe Illustrator Ver. (Japan),ai,false,Image (Vector),fmt/477,fmt/477,false,true
fmt/422,Adobe Illustrator Ver. (6.0),"ai,eps",false,Image (Vector),fmt/477,fmt/477,false,true
fmt/423,Adobe Illustrator Ver. (7.0),ai,false,Image (Vector),fmt/477,fmt/477,false,true
fmt/424,OpenDocument Database Format Ver. (1.2),odb,false,Database,fmt/101,fmt/101,false,false
fmt/425,Video Object File (MPEG-2 subset),vob,false,Video,fmt/4,"fmt/4,fmt/649,fmt/640,fmt/199",false,false
fmt/426,Harris Matrix,hm,false,Binary (Data),fmt/426,fmt/426,true,false
fmt/427,CorelDraw Drawing Ver. (12.0),cdr,false,Image (Vector),fmt/477,fmt/477,false,true
fmt/428,CorelDraw Drawing Ver. (X3),cdr,false,Image (Vector),fmt/477,fmt/477,false,true
fmt/429,CorelDraw Drawing Ver. (X4),cdr,false,Image (Vector),fmt/477,fmt/477,false,true
fmt/430,CorelDraw Drawing Ver. (X5),cdr,false,Image (Vector),fmt/477,fmt/477,false,true
fmt/431,Corel R.A.V.E. Ver. (2),clk,false,Image (Vector),fmt/477,fmt/477,false,true
fmt/432,Corel R.A.V.E. Ver. (3),clk,false,Image (Vector),fmt/477,fmt/477,false,true
fmt/433,Drawing Interchange File Format (ASCII) Ver. (2007/2008/2009),dxf,false,Image (Vector),fmt/477,fmt/477,false,true
